time,aoi,measurement,indicatorValue,referenceTime,dataProvider,eoSensor,colorCode,inputData
"2019-01-05T00:00:00.000Z","LatLng(34.75, 136.7)","90.19","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-01-12T00:00:00.000Z","LatLng(34.75, 136.7)","-44.89","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-01-19T00:00:00.000Z","LatLng(34.75, 136.7)","82.41","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-01-26T00:00:00.000Z","LatLng(34.75, 136.7)","290.35","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-02-02T00:00:00.000Z","LatLng(34.75, 136.7)","318.43","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-02-09T00:00:00.000Z","LatLng(34.75, 136.7)","-24.76","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-02-23T00:00:00.000Z","LatLng(34.75, 136.7)","3.09","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-03-02T00:00:00.000Z","LatLng(34.75, 136.7)","161.68","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-03-09T00:00:00.000Z","LatLng(34.75, 136.7)","22.41","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-03-16T00:00:00.000Z","LatLng(34.75, 136.7)","-3.88","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-03-23T00:00:00.000Z","LatLng(34.75, 136.7)","18.77","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-03-30T00:00:00.000Z","LatLng(34.75, 136.7)","-39.79","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-04-06T00:00:00.000Z","LatLng(34.75, 136.7)","-47.41","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-04-13T00:00:00.000Z","LatLng(34.75, 136.7)","-52.91","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-04-20T00:00:00.000Z","LatLng(34.75, 136.7)","-48.1","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-04-27T00:00:00.000Z","LatLng(34.75, 136.7)","-46.08","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-05-04T00:00:00.000Z","LatLng(34.75, 136.7)","-38.61","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-05-11T00:00:00.000Z","LatLng(34.75, 136.7)","-41.05","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-05-18T00:00:00.000Z","LatLng(34.75, 136.7)","-63.27","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
